sent0,sent1,labels
He poured orange juice on his cereal.,He poured milk on his cereal.,1
He drinks apple.,He drinks milk.,1
Jeff ran a mile today,"Jeff ran 100,000 miles today",0
A mosquito stings me,I sting a mosquito,0
A niece is a person.,A giraffe is a person.,0
A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.,0
I like to ride my chocolate,I like to ride my bike,1
A GIRL WON THE RACE WITH HER FRIEND,A GIRL WON THE RACE WITH HORSE,0
he put elephant into the jug,he pour water in to the jug,1
A girl plays volleyball,A dog plays volleyball,0
Eggs eat kis on Easter.,Kids find eggs on Easter.,1
Mark drank a notebook.,Mark drank water.,1
He went to the police station to withdraw cash.,He went to the bank to withdraw cash.,1
An owner can price goods,An employee can price goods,0
she wear bangles in the hand,she wear hat in the hand,0
My cousin throws the snowball to my brother.,My cousin throws the house to my brother.,0
The caterpillar eats the rose bud,Roses buds  eat caterpillars,0
Lisa played jazz music for Moses of the Old Testament yesterday.,Lisa played jazz music for the President of the USA yesterday.,1
the computer broke down and the doctor fixed it,the computer broke down and the technician will fix it,1
I drank bleach.,I drank water.,1
I usually wear a shoe on my head,I usually wear a shoes in my feet,1
My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.,0
She took the chair for a walk,She took the dog for a walk,1
A dog barked at a cat in the street.,A dog roared at a cat in the street.,0
He mowed the carpet,He mowed the tall grass,1
I drive a bike,I drive a car,1
I dress an elephant,I dress myself,1
I cook fish very well,I cook football very well,0
Car is a very good mode of water transport,Boat is a very good mode of water transport,1
a dog is taken to a veterinarian after getting sick,a dog is taken to a pool after getting sick,0
She rode her bike to the moon.,She rode her bike to the store.,1
A mobile phone shut down,A boy shuts down,0
He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,1
I play games on my Gas stove,I play games on my laptop,1
I read stars,Stars read me,0
A boy turns off the door,A boy turns off the light,1
He read a very long window King Tut.,He read a  book about King Tut.,1
He lost his phone at the park.,He lost his phone in the mouth of a griffin.,0
Sara had a glass of water,Sara had a glass of petrol,0
he kept a juice bottle into the fridge,he kept a chair inside the fridge,0
I read a tiger,I read a book,1
I use internet on my radio,I use internet in my mobile,1
She drove her children to the moon.,She drove her children to the playground.,1
She drove to the grocery store.,She parachuted into the grocery store from a plane.,0
The fish swam in the desert.,The fish swam in the ocean.,1
There was a man walking in the snow.,There was a dead ice creature walking in the snow.,0
I swim under a tap,I swim in a swimming pool,1
A person eats tomatoes,A person eats mountains,0
Jane saw a giraffe at the zoo.,Jane saw a giraffe in her purse.,0
We use a clock to know the time,We use book to know the time,0
I was playing basketball with a ball,I was playing basketball with a rock,0
Mary took her dog for a walk,Mary took her moth for a walk,0
I like to listen podcasts as I commute,I like to listen colours as I commute,0
I run in the air,I run in the ground,1
There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.,1
He ate the book,He ate an apple,1
Jake ate artificial mango,Jack ate mango,1
Baby is taking toys,Baby is taking dictionary,0
the school was open for summer,the school was open for fall,1
The chocolate cried,The chocolate melted,1
There are commercials in the middle of a television program,There are barbecues in the middle of a television program,0
He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.,1
You sometimes puke after getting drunk,You never puke after getting drunk,0
You can use a jellyfish to hold checks.,You can use a checkbook holder to hold checks.,1
Lawyers are people who play characters in television or theatre,Actors are people who play characters in television or theatre,1
A giraffe drove a car,A man drove a car.,1
A small dog is called a kitten,A small dog is called a puppy,1
The parrot went to work,The man went to work,1
My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub,1
He killed him with a knife,He killed him with a programming language,0
The cinema shared popcorn with them,They shared their popcorn at the cinema,1
Rotten food usually smells nasty.,Rotten food smells nice.,0
An actor wear a toaster.,An actor can wear a costume.,1
The man slept in bed.,The man slept on the volcano.,0
She spoke to a ghost at the door.,She spoke to a man at the door.,1
You will never see a teacher inside of a school.,You will find teachers in a school.,1
She cuts a pizza with a knife.,She cuts a pizza with an advertising board.,0
They built the sun,They built a house.,1
The man put some muffins in the microwave,The man put some buildings in the microwave,0
There was a chicken flying.,There was a bird flying.,1
He played the cow very well,He played the harp very well,1
If your heartbeat stops then you are classed as dead.,You are still alive if you do not have a heartbeat.,0
the trampoline jumped on him,He jumped on the trampoline,1
Georgia Tech is a school.,Georgia Tech trains dragons,0
She was going to school in a bus,She was going to school in a lunch box,0
The moon turns full about once a month,The moon gets fixed and that's how it returns to full,0
The man paid the bill with cash.,The man paid the bill with water.,0
You are cooking the dinner,You are cooking the music,0
She write the story in paper,She write the story in water,0
The storage in every computer is unlimited.,A computer can run out of storage.,1
People only cry when they are angry.,People cry when they are sad.,1
Most people like to have coffee and doughnuts in the morning.,Most people like to have hamburgers and pudding in the morning.,0
Frank hit Will with a stone causing him pain,Frank hit Will with a pillow causing him pain,0
he put the sock on the drum.,He put a sock on his foot.,1
he shaved his teeth,he shaved his beard,1
She put mustard on a star.,She put mustard on a corndog.,1
they put on shoes to walk outside,they put on ghillie suits to go outside,0
He was playing music,He was playing fridge,0
A person can visit relatives.,A person is not allowed to visit their relatives.,0
Tight shoes are comfortable.,Tight shoes cause discomfort.,1
Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight.",1
Plants can make computers,Plants can make carbohydrates,1
My friend like to eat non-veg food,My friend like to eat electronic goods.,0
Europe is in france,france is in Europe,1
He drove his car to London,He drove his car to the moon,0
The babies birthday is the day their parents met.,"When a baby is born, that day is called its' birthday.",1
A sheep shops at Walmart,A lady shops at Walmart,1
You can not get drunk from alcohol.,Drinking alcohol gets you drunk.,1
The gun shot a bullet,The fire hydrant shot a bullet,0
A forest is an area covered with snow,A forest is an area covered with trees,1
The building built him,He built a building,1
The grass is growing.,The grass is singing.,0
She cut the meat with a fridge.,She cut the meat with a knife.,1
I ran to the barn.,I ran to the sky.,0
No one uses pens to write with.,People write with pens.,1
The whale swims in a bathtub.,The whale swims in the ocean.,1
A boxer would never punch in a boxing match.,A boxer is likely to throw a punch in a boxing match.,1
There was a person drinking sulfuric acid.,There was a person drinking water.,1
She drank a cup of tires.,She drank a cup of tea.,1
He was changing tv channels with remote,He was changing tv channels with screwdriver,0
The whale swam through the ocean,The giraffe swam through the ocean,0
He moved a city to his belongings,He moved his belongings to a new city,1
He put the ice cream in the freezer,he put the ice cream in the closet,0
The plane was full of people,The people were full of planes,0
She went to the shop to buy bread,She went to the shop to buy hands,0
He took the curb to the trash.,He took the trash out to the curb.,1
Alice lit a candle at night,Alice lit a rock at night,0
She flew on a pizza.,She delivered a pizza.,1
A musician can play an instrument,A musician can perform a surgery,0
She brushed her teeth with a truck.,She brushed her teeth with a brush.,1
The house entered the man,The man entered the house,1
He put a whale on the shelf.,He put an orange on the shelf,1
Jill ate the wizard in her book.,Jill wrote a book about wizards.,1
He travels by a bus to reach the office.,He travels by a laptop to reach the office.,0
He buys a burger to eat.,He buys a book to eat.,0
The table melts at room temperature.,The ice melted at room temperature.,1
He walked to mars,He walked to the store,1
He raised a tambourine with his hands.,He lifted a tractor with his hands.,0
Dwight cut down a mountain,Dwight cut down a tree,1
he swam in the lava,he swam in the lake,1
He put a card in his wallet.,He put a horse in his wallet.,0
The woman wrote down the story with a pencil on paper,The woman wrote down the story with a spoon on paper,0
she ate a brick,she ate a banana,1
Swords use me,I use swords,1
Geralt drives his car every day,Geralt flies his car every day,0
She needed to call her mother but she could not find her phone,She needed to call her mother but she could not find her car keys,0
He served vegetables for dinner,He served a globe for dinner,0
He went to restaurant because he feels hungry,He went to  beauty parlour because he feels hungry,0
The Piano was hit,The Piano was played,1
today will be 30 hours,today will be 24 hours,1
A cup is for holding a liquid you plan to drink.,A cup is for holding a gas you plan to drink.,0
I dress myself,I dress a lion,0
He threw an anvil into the basket.,He threw the ball into the basket.,1
I like to eat boiled eggs,I like to eat cooked ice cream,0
He ate a crane.,He ate barbecue.,1
He danced on the spoon,He danced on the floor,1
A landscape is a painting or a photograph which focuses on the face of a person,A portrait is a painting or a photograph which focuses on the face of a person,1
The child rubbed mud on his face.,The child ate mud off of his face.,0
A man defrosted a chicken using a microwave.,A man defrosted a chicken using a lighter.,0
He was walking on the water.,He was walking on the road.,1
A shark interviews a fish.,A shark eats a fish,1
She lifted a tractor.,She lifted a chair.,1
She makes a call by the stove.,She makes a phone call.,1
The sun shines bright in the day,The sun shines bright in the night,0
The elephant eats,The book eats,0
The woman writes in the book.,The woman writes in the sky.,0
the country of Denmark exists,the country of liegenpoofa exists,0
You will never find dust on a desktop.,Something you can find on a desktop is dust.,1
Dogs eat dog food.,Dogs eat extension cords.,0
Children love reading stories,Children love doing the laundry,0
You can take a bath in a tub,You can take a bath in a blender,0
The coin was made of silver,The coin was made of cheese,0
A fork is used for cutting bread,A bread knife is used for cutting bread,1
She makes omelette with horse's egg.,She makes omelette with chicken's egg.,1
She lay on the bed to sleep,She lay on the pool water to sleep,0
The water froze on the stove.,The water on the stove is boiling.,1
A spider spun a web.,A horse spun a web,0
she bought minecraft to play on her xbox,she bought minecraft to play netball with,0
She put a phone in her bag.,She put a house in her purse.,0
She took the laptop in the car,She took a battle tank in the car.,0
He put the shoes in his mouth,He put the pills in his mouth.,1
He put a hat over his head,He put a teapot over his head,0
You will never find a dog that likes to eat meat.,Dog's love eating meat.,1
He opened the door,The door opened him,0
He rode his car across the ocean,He rode his car across the highway,1
I put my bowling alley on the couch,I put my dog on the couch,1
There was an ant wrapped around a tree.,There was a snake wrapped around a tree.,1
He played the piano with his fingers.,He played the piano with a ship.,0
A pocket knife is useless.,A pocket knife is very useful.,1
He ate a ham sandwich,He ate a lion sandwich,0
The cat bites a rubber ball.,The cat bites a cloud.,0
The fish got into the car and drove off,The man got in the car and drove off,1
Cleveland is a state in America,Ohio is a state in America,1
I broiled a gluten-free cake.,I baked a gluten-free cake.,1
He plays tennis with a basketball ball,He plays tennis with a tennis ball,1
There were a lot of people pulling a huge ten ton block.,There was one person pulling a massive ten ton block.,0
a computer a day keeps doctors away,an apple a day keeps doctor away,1
She put a shirt on her foot.,She put the shoe on her foot.,1
Rain fell from the sky,Whales rain from the sky.,0
A child can breath fire.,A child can close a door.,1
There was a zebra hunting a lion.,There was a lion hunting a zebra.,1
The dog chased the cat.,The dog chased the bed.,0
Scales are used for measuring distances between things,A ruler is used for measuring distance between things,1
A football is likely to be kicked by a footballer.,A footballer would never kick a football.,0
He went on holiday to Chicken,He went on holiday to Turkey,1
"When it is dark at home, you can turn on the heaters","When it is dark at home, you can turn on the light",1
A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.,0
He drinks beer in a dog,He drinks beer in a mug,1
The family came back from the moon,The family came back from the movies,1
Sugar is sweet for humans,Sugar is bad for humans,0
It rains often in London,It rains often in Sahara,0
The man had an automobile for dinner,The man had a pizza for dinner,1
She washed her hair with shampoo,she washed her hair with milk,0
taking a walk in the park can be good for your health,taking a dump in the park can be good for your health,0
Something you find at a water cooler is co-workers,Something you find at a water cooler is a living dinosaur,0
She jumped into the water of a pool.,She jumped into the water of a glass.,0
She lives in a home.,She lives in a snow globe.,0
John plays the piano.,John plays the milk.,0
You cannot hydrate yourself by drinking water.,People drink water to hydrate themselves.,1
I take my medicine,My medicine take me,0
He drew water from the bottle.,He pulled a fan from the bottle.,0
Tomorrow is Friday.,Tomorrow is a water bottle.,0
He cooks a bed in the pan.,He cooked milk in the pan.,1
Dirty dishes cannot be cleaned in a dishwasher.,Dirty dishes can be cleaned in a dishwater.,1
He put a cat into the cabinet.,He put a shark into the cabinet.,0
The girl likes to eat sweets.,The girl likes to eat plastic.,0
The cat barked at the mailman.,The dog barked at the mailman.,1
If you drink a lot in the pub you will become drunk,"If before you go to the pub and you drink a lot, then afterwards you are drunk",0
The woman played television,The woman played football,1
The eagle flies deep in the ocean,The eagle flew high in the sky,1
She went to the park on Sunday,She went to the moon on Sunday,0
200 is one hundred,100 is one hundred,1
She ran on the track.,She ran into the closet.,0
he drank apple juice,he drank paper,0
The girl was sleeping on a couch,The girl was sleeping on a spoon,0
I typed something on the floor,I typed something on the keyboard,1
The plane flew to Belize,The plane swam to Belize,0
He visited a dentist to check his tooth pain,he visited a mechanic to check his tooth pain,0
The dog goes flying three times a day.,The dog goes for a walk three times a day.,1
You need to buy a ticket to enter a cinema,You need your passport to enter a cinema,0
He didn't want to leave from inside his mailbox.,He didn't want to leave from inside his house.,1
He unlocked the door with a shoe.,He unlocked the door with a key.,1
He took his dog to the hairdresser for a health check-up.,He took his dog to the veterinarian for a health check-up.,1
One of the things you do when you wake up is brushing your teeth,One of the things you do when you wake up is saying good night,0
The Children were happy seeing the clown,The children were happy seeing the monster,0
He carved the ham with a knife.,He carved the ham with a spoon.,0
He took his dog to the veterinary to take his vaccines,He took his dog to the gym to take his vaccines,0
"In the morning when I wake up, I eat breakfast.","In the morning when I wake up, I eat dinner.",0
Potatos is the plural of potato,Potatoes is the plural of potato,1
I found a notepad on a table.,I found a soap on a table.,0
Something you might do while driving your car is slam on the brakes,Something you might do while driving your car is fly a plane,0
People went to restaurant to pray,People went to church to pray,1
He called the police to complain about the robber,He called the banker to complain about the robbery,0
Curtains let more light into the room.,Curtains stop light from entering the room.,1
He sent a text message in lunch box,He sent a text message in mobile,1
An armchair is where people sit and relax,An stove is where people sit and relax,0
He was sentenced to death in a trial.,The defendant sentenced the jury to death.,0
He drinks petrol every morning,He drinks tea every morning,1
"James read the last page of the book, and put it back on the book shelf.",James read the last page of the book and proceeded to eat it.,0
She drove her car around the supermarket to collect groceries,She pushed her trolley around the supermarket to collect groceries,1
You can see pictures in a museum,You can buy pictures in a museum,0
He packed his clothes in a pen,He packed his clothes in a bag,1
She put her shoes on her feet,She put her shirt on her feet,0
He bought plate to cook food,He bought chicken to cook food,1
I want to play football on my guitar,I want to play football on my xbox,1
The student copied his professors notes.,The student called his professors notes.,0
Mobiles are used to cleaning,Mobiles are easy to carry,1
A bed is used for sleeping,A bed is used for watching television,0
My friend drank juice in a glass.,My friend drank sand in a glass.,0
She put a pie in the oven.,She put a pie in the bathtub.,0
She was eating shoe,She was eating chocolate,1
She got into the bathtub to sleep.,She got into bed to sleep.,1
She put a pizza in the oven.,She put a gorilla in the oven.,0
Umbrella is used during a rainy day.,Sunscreen is used during a rainy day.,0
we can cook food in the kitchen,we can have a shower in the kitchen,0
Food baked longer than recommended can burn,Food refrigerated longer than recommended can burn,0
Jim drove to the mall,The mall drove to Jim,0
She heated up the water to make tea.,She heated up the water to make icecream.,0
A sword is a weapon,A teddy is a weapon,0
A planet has a square shape,A planet has a sphere shape,1
He put frozen turkey in the freezer.,He put a cat in the freezer.,0
Grass is green,Grass is orange,0
Most plants have green leaves.,Plant can have buffalo for dinner.,0
The doctor gave vaccine through injection,The doctor gave vaccine through stethoscope,0
My house is homosexual.,My house is white.,1
You can buy cigarettes in bottles,You can buy beer in bottles,1
Eating lot of food makes you fat,Eating lot of food makes you tall,0
Adjectives are a part of speech,Adjectives are a part of pizza,0
It rains occasionally which is horrible for the trees and grass.,It rains occasionally which is good for the trees and grass.,1
If she is dead she will buy a new house.,If she is dead she won't be buying anything any more.,1
The dog jumped over a log.,The log jumped over a dog.,0
She worked out the question on the calculator,She worked out the answer on the calculator,1
She hung an elevator on the wall.,She hung a picture frame on the wall.,1
Anxiety disorders affect around 10% of people at any one time.,10% of disordered people are anxious about anything all the time.,0
Boats sail on the water.,Boats sail on the sand.,0
Burglars are good people,Doctors are good people,1
I wore a black tie to the funeral,I wore a rainbow bowtie to the funeral,0
The Students Scolded the Teacher,The Teacher Scolded the Students,1
They switched on the stove to watch their favourite programme,They switched on the television to watch their favourite programme,1
he kept ice cream in oven,he kept ice cream in the freezer,1
She was frying the nuts in hot pan,She was frying the nuts in freezer,0
Learning a language is easy,Learning how to cycle is easy,1
Michelle put a TV in the back of her car.,Michelle put a couch in the back of her car,0
you will find a rock in a mountain,you will find a shark in a mountain,0
The ferry crossed the river on the car.,The car crossed the river on the ferry.,1
The rain made my t-shirt wet.,The sun made my t-shirt wet.,0
she was swimming in hot oil.,she was swimming in hot  water.,1
Bella loves to dance in a ballroom in her pink car.,Bella loves to dance in a ballroom in her pink dress,1
Eggs are usually used as cricket ball,Eggs usually used to eat,1
One thing you will see at a Tyre change shop is a compressor,One thing you will see at a Tyre change shop is a juice maker,0
Umbrellas are good means of communication,Mobile phones are good means of communication,1
Winter coats are helpful in cold temperatures.,Winter coats are helpful in summer.,0
He ate an apple,He ate a mobile phone,0
Pencils contain a chocolate core,Pencils contain a graphite core,1
he cut the cheese with knife,he cut the cheese with axe,0
He took his family to restaurant for dinner,He took his family to restaurant for movie,0
Players play soccer with sports shoes,Players play soccer with mountain shoes,0
His reflection was invisible in the mirror.,His reflection was visible in the mirror,1
He was eating hotdogs,He was eating spoon,0
I will play the table in class tomorrow in front of students,I will play the guitar in class tomorrow in front of students,1
A lathe is used to shape material.,A lathe is only for making table legs.,0
Water is a drink with brown colour,Coffee is a drink with brown colour,1
People use computer to make money.,Computer use people to make money.,0
A policeman carries a sword.,A policeman carries a gun.,1
People can row boats.,Boats can row people.,0
bridges are built to attract tourists,bridges are built to cross rivers,1
He puts nails on his sandwich,He puts ham on his sandwich.,1
Something you find in a living room is a chair,Something you find in a living room is a cheetah,0
A fox is a bird,A fox is an animal,1
He puts the lotion in the basket,He rubs the lotion on the basket,0
You are likely to meet a car accident on the road,You are likely to meet a car accident inside home,0
No person would want to live with a cat,No person would want to live with rats,1
He read a wardrobe in rhe table,He read a book in the table,1
A small rat chases a grey cat away,A grey cat chases a small rat away,1
She went to the hospital to have a surgery.,She went to the clothing store to have a surgery.,0
The keyboard makes a clicking sound when it is typed on.,The keyboard makes a splashing sound when it is typed on.,0
Chalk is a common food item at birthday parties.,Cake is a common food item at birthday parties.,1
A fan is a baby kangaroo,A joey is a baby kangaroo,1
He drove his car down the river.,He drove his car down the street.,1
Cars have got ten wheels,Cars have got four wheels,1
He clicked the computer screen with mouse,he clicked the computer screen with dog,0
She will give birth after 2 months of pregnancy,She will give birth after 9 months of pregnancy,1
A passport is necessary to travel from one country to another.,A passport is necessary to travel from one restaurant to another.,0
Jonathan smells bad when organic litter is near,Jonathan smells good when organic litter is near,0
A spaceship is a way to get from one side of a water way to another.,A tunnel is a way to get from one side of a water way to another.,1
he bought a gift for his friend's funeral,He bought a gift for his friend wedding,1
she applied toothpaste on her face in summer,She applied sunscreen on her face in summer,1
Seven quarters is equal to one whole.,Four quarters is equal to one whole.,1
Phones grow on trees,Apples grow on trees,1
Permanent marker can be erased more easily than crayon,Pencil can be erased more easily than crayon,1
It is likely that she will get into university with her fail in the qualifying exam,It is likely that she will get into university with her pass in the qualifying exam,1
He called his wife on her pen,He called his wife on her mobile,1
She put a train in the car.,She put a dog in the car.,1
The steel plank was floating on the lake,The wood plank was floating on the lake,1
He stored rice in a pen drive,He stored music files in a pen drive,1
"A basil plant needs sun, water and soil in order to flourish.","An infant needs sun, water and soil in order to flourish.",0
I ride a leopard to work every day,I drive a car to work every day,1
You can use a pool to swim,You can use a pool to place an elephant,0
He drove the truck from continent to continent.,The truck drove on the highway.,1
I walked on land,I walked on water,0
There are four mountains around the table,There are four stools around the table,1
The ant rode the bike.,The girl rode the bike.,1
He checked time on his watch,He checked time on his shoe,0
The criminal was sentenced to 2 years in library.,The criminal was sentenced to 2 years in prison.,1
He was swimming in a swimming pool,He was swimming in a ground,0
Bill has got two friends in Belgic,Bill has got two islands in Belgic,0
The unicorn went down the hole.,The rabbit went down the hole.,1
My Dog eats wood for dinner.,My Dog eats chicken preparation for dinner.,1
Eating a lot of sand can cause obesity,Eating a lot of sugary foods can cause obesity,1
He waved hands at his bike,He waved hands at his friends,1
john parked his car in the bathroom,John parked his car in the garage,1
He was eating a book,He was reading a book,1
A person must eat more meat to have a longer life,A person must exercise more to have a longer life,1
He liked the food made by the dog,He liked the food made by the chef,1
He got into the bathtub to sleep.,He got into the bed to sleep.,1
"Beef stew should be cooked at 3,250 degrees for 36 hours",Beef stew should be cooked at 325 degrees for 3 hours,1
She eat a lot of food.,Food eat her a lot.,0
You can find windows on a building,You will always find windows on a building,0
It is desirable to put children's in jail at the age of six,It is desirable to put children's in school at the age of six,1
Work is going to make money.,Going to work is for making money.,1
the student uses a wand to take the test,The student uses a pencil to take a test,1
A purse is a fashionable way to carry around roller blades.,A purse is a fashionable way to carry around essential items.,1
A kite is flying in the air.,A kite is crying in the air.,0
He went to saloon to do a hair cut,He went to theater to do a hair cut,0
"When driving, it's important to keep both hands on the steering wheel.","When driving, it's important to keep both feet on the steering wheel.",0
He took his animal to a painter for treatment,He took his animal to a vet for treatment,1
Some dogs bite men,All men bite dogs,0
The cops arrested the Thief,The Thief arrested the cops,0
Mom put baby into the stroller to walk to the park,Mom put the baby down the water slide to walk to the park,0
The school went to her,She went to school,1
He drives a steamship at his job in the stadium.,He drives a steamship at his job.,1
he was eating cake,he was eating grass,0
You would eat a horse because you are hungry,You would eat lunch because you are hungry,1
He travelled to Europe by plane.,He travelled to Europe by bird.,0
The man threw the garbage into the dumpster,The man threw the garbage into his mouth,0
"After throwing a ball upwards, it will keep going up","After throwing a ball upwards, it will come down again",1
Some dogs jump from one branch to another on a tree,Some monkeys jump from one branch to another on a tree,1
The babies have careers.,The adults have careers.,1
people usually eat soup with spoons,people usually eat soups with knives,0
He unlocked the wall,He unlocked the door,1
She cooked rice in the bathtub.,She cooked rice in the pan.,1
He gave her a necklace for her birthday.,He gave her a rock for her birthday.,0
He replaced the bulb in the lamp with a salmon,He replaced the bulb in the lamp with a new LED bulb,1
Edward installed solar panels on the roof,He put a nuclear plant on the roof,0
Four plus six equals ten,Ten plus six equals ten,0
I ate a bike wheel,I ate a biscuit,1
Home auto cleans itself.,You clean home everyday.,1
The sailboat flew high into the sky.,The airplane flew high into the sky.,1
She walked into the house,She walked over the house,0
A paperclip clips paper together.,A paperclip cuts paper into pieces.,0
Music makes humans feel alright.,Music feel alright with humans.,0
I wear clothes everyday.,Clothes wear me everyday.,0
The students went to the teacher to get the assignment corrected,The students went to the plumber to get the assignment corrected,0
He was watching his favorite show in television,He was watching his favorite show in oven,0
The dog barked at the horse,The horse barked at the dog,0
She used a telephone to call her mother,She used a banana to call her mother,0
He caught a fish with a fishing rod,He caught a fishing rod with a fish,0
Girls have three boobs,Girls have two boobs,1
The chef cooked food on stove,The chef cooked food on speaker,0
He was playing a shoe,He was playing a chess game,1
The doctor checked the temperature with thermometer,The doctor checked the temperature with stethoscope,0
They were catching fish in the cooker,They were catching fish in the lake,1
Students teach teachers,Teachers teach students,1
He was drinking cake to quench his thirst,He was drinking water to quench his thirst,1
He was washing his car with water,He was washing his car with sandpaper,0
He was doing exercise in fridge,He was doing exercise in gym,1
Protecting your own interests is a matter of survival.,Protecting irrelevant matters is a matter of survival.,0
He sent an email from his fridge,He sent an email from his computer,1
John likes to have ice cream after dinner.,John likes to have arsenic after dinner.,0
He saw a spider web,He saw a lion web,0
The man hit a home run.,The man hit a football for a home run.,0
She ate dirt for breakfast.,She ate fruit for breakfast.,1
At night moonlight show their path,At night sunlight show their path,0
The weather is so cold that it began to snow.,The weather is so hot that it began to snow.,0
She sewed an outfit on the sewing machine. She sewed a,door on the sewing machine. A door is too,0
water is essential for health,water is unwanted thing to body,0
A sailboat is docked at the pier.,An antelope is docked at the pier.,0
a dog wags its tail when they are excited,a dog wags its tail to call its mom.,0
She was wearing spoon for bad eyes,She was wearing glasses for bad eyes,1
The driver started the car engine with the key,The driver started the car engine with pen,0
12345 are the first letters of a standard English keyboard,QWERTY are the first 6 letters of a standard English keyboard,1
Bears eat benches,Bears eat honey,1
I let the tiger drive my car.,I let the clown drive my car.,1
He was playing cards game with his friends,He was playing cards game with his bike,0
The terrorist arrested the military.,The military arrested the terrorists.,1
A doctor examines your body,A doctor examines fruit,0
He poured a tall glass of mud.,He poured a tall glass of water.,1
His neighbor has donated his Sweat,His neighbor has Donated his eyes,1
The  mat sat on the cat.,The cat sat on the mat.,1
he put the books in the wine cellar,he put the books in the bookshelf,1
He put the chair in the room,He put the chair on the room,0
I like to eat a bowl of popcorn during movie time,I like to eat a bowl of pebbles during movie time,0
he wrote with a car,he wrote with a pen,1
He wore a sleeveless shirt,He wore a spoon,0
The baby played with fire.,The baby played with blocks.,1
The universe is endless.,The universe is limited like a box.,0
He likes to wear shirt,He likes to wear blouse,0
A generator generates electricity,A refrigerator generates electricity,0
The people are shouting,The people are quietly shouting,0
A farmers market is a good place to find fresh produce.,A pillow factory is a great place to find fresh produce.,0
a movie is meant simply to be viewed,a game is meant simply to be viewed,0
He covered the bed with a bedspread,He used a handkerchief to cover the bed,0
Printers print in white paper,Printers print in black paper,0
ships are used to teleportation of materials and peoples,ships are used to transportation of materials and peoples,1
People who catch criminals for living are called fishermen,People who catch fish for living are called fishermen,1
We need to breath Oxygen to live,We need to breath Twinkies to live,0
He pluck the flower from the stone,He pluck the flower from the plant,1
Top hats are no longer worn as much as in previous years,Clothes are no longer worn as much as in previous years,0
He ate a tomato from the fridge,He ate a tomato from the dirt,0
The sun revolves around the Earth,The moon revolves around the Earth,1
A girl was driving the car,A cat was driving the car,0
It was raining and he was holding the mountain,It was raining and he was holding umbrella,1
People built temple to watch movies,People built temple to worship god,1
We always go to park and play during school holidays,We always go to hospital and play during school holidays,0
A guitar is a musical instrument,A car is a musical instrument,0
A caterpillar ate a dog.,A dog ate a caterpillar.,1
Most families have their own train,Most families have their own bed,1
we can play with a football,we can eat a football,0
A mat is made of iron,An anchor is made of iron,1
Silver is for making food,Silver is for making jewelry,1
She made a doll with cotton.,She made a doll with oil.,0
"If a person wants to exercise, they go to a gym.","If a person wants to exercise, they go to a pizza parlor.",0
we can play cricket with the basket ball,we can play cricket with a cricket bat.,1
I would learn a language because i need to travel,You would learn a language because i need to travel,0
She can see a ship in the sea,She can see a ship in the pond,0
He listened to the music on mobile phone,He listened to the music on the belt,0
The pen ran out of ink,The pen ran out of mayonnaise,0
He asked his dog to help in his office work,He asked his wife to help in his office work,1
She took the wardrobe out of the clothes,She took the clothes out of the wardrobe,1
You can improve your wifi signal by removing your teeth between your device and router,You can improve your wifi signal by removing obstructions between your device and router,1
He paid the bill with his credit card,He paid the bill with his nose,0
A barber shop is for dining out.,A barber shop is for getting hair cuts.,1
Lightning is seen after thunder,Thunder is heard after lightning,1
people jump from building to avoid stairs,people use lift  in a building to avoid stairs,1
He was painting the house with brush,He was painting the house with spoon,0
A lion is something you will find at a mall,A lion is something you will find at a forest,1
The chicken laid an egg,The chicken laid a dog,0
A man walked into the bank and made a deposit,A man went to the pool and deposited cash,0
Many Americans can eat at restaurants.,Many Americans can eat at toll booths.,0
My favorite fruit is apple.,My favorite fruit is Meat.,0
The policeman gave him a ticket for speeding.,The policeman gave him a reward for speeding.,0
George went to the basement to get some sun,George went to the beach to get some sun,1
He was so sad that he couldn't stop smiling.,He was so happy that he couldn't stop smiling.,1
He wore helmet to protect his head,He wore cooker to protect his head,0
We can see stars at day,We can see stars at night,1
About fifty people get in to a bus,About fifty people get in to a car,0
